Item Value,73.36581095,64.10432511,60.1569825,39.13372929,88.03906927,28.22044264,15.51356411,55.12723596,11.34457794,41.66882335,99.08155579,74.87789913,81.91241007,53.14324403,14.26004422, , 
Item Weight,127.8628437,279.7141325,173.2770157,492.5723547,471.2120979,73.15960393,21.38668002,482.5985617,316.3217181,390.3930227,248.744095,369.2445144,421.0562715,450.6741557,50.70057513, , 
Gen num, , , , , , , , , , , , , , , ,Best Gene Fitness,Average Fitness
60,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,321895.4697,308004.6
61,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,321895.4697,299672.6
62,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,321895.4697,302902.4
63,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,304532.6409,286854
64,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,350177.433,306080.4
65,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,304532.6409,291849.2
66,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,304532.6409,294327.6
67,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,340299.3603,311685.4
68,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,368415.0058,312206.4
69,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,368415.0058,290052.6
70,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,368415.0058,298253.6
71,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,304532.6409,285870.6
72,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,304532.6409,274613.8
73,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,321895.4697,264321.8
74,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,321895.4697,260751.2
75,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,304532.6409,290757
76,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,321895.4697,308004.6
77,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,304532.6409,304532
78,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,336475.6411,310920.6
79,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,304532.6409,304532
80,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,304532.6409,304532
81,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,390888.26,321803.2
82,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,390888.26,321803.2
83,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,390888.26,321803.2
84,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,390888.26,321803.2
85,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,376831.4593,307826
86,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,304532.6409,290887.8
87,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,304532.6409,302053.6
88,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,304532.6409,299575.2
89,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,390888.26,319324.8
90,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,390888.26,336596
91,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,376831.4593,314035
92,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,376831.4593,314035
93,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,376831.4593,300631.8
94,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,396118.6289,334830.6
95,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,368415.0058,317508.8
96,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,330317.1768,299775.4
97,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,330317.1768,299775.4
98,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,292140.4485,282286.2
99,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,330317.1768,299775.4
